CHRDR MAX, 31.0
CHRDR MIN, 19.0
CHRDTP MAX, 10.5
CHRDTP MIN, 4.5
CHRDBP MAX, 17.5
CHRDBP MIN, 10.0
SSPN MAX, 70.24
SSPN MIN, 45.76
SSPNOP MAX, 28.12
SSPNOP MIN, 18.88
SSPNE MAX, 64.04
SSPNE MIN, 39.56
