0.545,0.500,0.500,0.500,0.500,0.500,0.500
0.784,0.000,0.500,0.500,0.500,0.500,0.500
0.326,1.000,0.500,0.500,0.500,0.500,0.500
0.503,0.500,1.000,0.500,0.500,0.500,0.500
0.737,0.000,1.000,0.500,0.500,0.500,0.500
0.287,1.000,1.000,0.500,0.500,0.500,0.500
0.586,0.500,0.000,0.500,0.500,0.500,0.500
0.832,0.000,0.000,0.500,0.500,0.500,0.500
0.363,1.000,0.000,0.500,0.500,0.500,0.500
0.737,0.000,1.000,0.500,0.500,0.500,0.500
0.287,1.000,1.000,0.500,0.500,0.500,0.500
0.440,0.500,0.500,1.000,0.500,0.500,0.500
0.667,0.000,0.500,1.000,0.500,0.500,0.500
0.231,1.000,0.500,1.000,0.500,0.500,0.500
0.399,0.500,1.000,1.000,0.500,0.500,0.500
0.621,0.000,1.000,1.000,0.500,0.500,0.500
0.194,1.000,1.000,1.000,0.500,0.500,0.500
0.480,0.500,0.000,1.000,0.500,0.500,0.500
0.268,1.000,0.000,1.000,0.500,0.500,0.500
0.399,0.500,1.000,1.000,0.500,0.500,0.500
0.621,0.000,1.000,1.000,0.500,0.500,0.500
0.194,1.000,1.000,1.000,0.500,0.500,0.500
0.649,0.500,0.500,0.000,0.500,0.500,0.500
0.902,0.000,0.500,0.000,0.500,0.500,0.500
0.418,1.000,0.500,0.000,0.500,0.500,0.500
0.604,0.500,1.000,0.000,0.500,0.500,0.500
0.852,0.000,1.000,0.000,0.500,0.500,0.500
0.691,0.500,0.000,0.000,0.500,0.500,0.500
0.951,0.000,0.000,0.000,0.500,0.500,0.500
0.457,1.000,0.000,0.000,0.500,0.500,0.500
0.604,0.500,1.000,0.000,0.500,0.500,0.500
0.852,0.000,1.000,0.000,0.500,0.500,0.500
0.379,1.000,1.000,0.000,0.500,0.500,0.500
0.440,0.500,0.500,1.000,0.500,0.500,0.500
0.667,0.000,0.500,1.000,0.500,0.500,0.500
0.231,1.000,0.500,1.000,0.500,0.500,0.500
0.621,0.000,1.000,1.000,0.500,0.500,0.500
0.194,1.000,1.000,1.000,0.500,0.500,0.500
0.480,0.500,0.000,1.000,0.500,0.500,0.500
0.711,0.000,0.000,1.000,0.500,0.500,0.500
0.268,1.000,0.000,1.000,0.500,0.500,0.500
0.399,0.500,1.000,1.000,0.500,0.500,0.500
0.621,0.000,1.000,1.000,0.500,0.500,0.500
0.194,1.000,1.000,1.000,0.500,0.500,0.500
0.584,0.500,0.500,0.500,0.500,1.000,0.500
0.368,1.000,0.500,0.500,0.500,1.000,0.500
0.537,0.500,1.000,0.500,0.500,1.000,0.500
0.767,0.000,1.000,0.500,0.500,1.000,0.500
0.326,1.000,1.000,0.500,0.500,1.000,0.500
0.630,0.500,0.000,0.500,0.500,1.000,0.500
0.871,0.000,0.000,0.500,0.500,1.000,0.500
0.409,1.000,0.000,0.500,0.500,1.000,0.500
0.537,0.500,1.000,0.500,0.500,1.000,0.500
0.767,0.000,1.000,0.500,0.500,1.000,0.500
0.479,0.500,0.500,1.000,0.500,1.000,0.500
0.701,0.000,0.500,1.000,0.500,1.000,0.500
0.273,1.000,0.500,1.000,0.500,1.000,0.500
0.433,0.500,1.000,1.000,0.500,1.000,0.500
0.652,0.000,1.000,1.000,0.500,1.000,0.500
0.233,1.000,1.000,1.000,0.500,1.000,0.500
0.523,0.500,0.000,1.000,0.500,1.000,0.500
0.750,0.000,0.000,1.000,0.500,1.000,0.500
0.314,1.000,0.000,1.000,0.500,1.000,0.500
0.652,0.000,1.000,1.000,0.500,1.000,0.500
0.233,1.000,1.000,1.000,0.500,1.000,0.500
0.688,0.500,0.500,0.000,0.500,1.000,0.500
0.939,0.000,0.500,0.000,0.500,1.000,0.500
0.458,1.000,0.500,0.000,0.500,1.000,0.500
0.640,0.500,1.000,0.000,0.500,1.000,0.500
0.885,0.000,1.000,0.000,0.500,1.000,0.500
0.418,1.000,1.000,0.000,0.500,1.000,0.500
0.733,0.500,0.000,0.000,0.500,1.000,0.500
0.501,1.000,0.000,0.000,0.500,1.000,0.500
0.640,0.500,1.000,0.000,0.500,1.000,0.500
0.885,0.000,1.000,0.000,0.500,1.000,0.500
0.418,1.000,1.000,0.000,0.500,1.000,0.500
0.479,0.500,0.500,1.000,0.500,1.000,0.500
0.701,0.000,0.500,1.000,0.500,1.000,0.500
0.273,1.000,0.500,1.000,0.500,1.000,0.500
0.433,0.500,1.000,1.000,0.500,1.000,0.500
0.652,0.000,1.000,1.000,0.500,1.000,0.500
0.523,0.500,0.000,1.000,0.500,1.000,0.500
0.750,0.000,0.000,1.000,0.500,1.000,0.500
0.314,1.000,0.000,1.000,0.500,1.000,0.500
